City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,79.07,few clouds,-23.1203,-134.9692,Pension Maro'i
3,Catuday,PH,76.86,few clouds,16.2923,119.8062,GResort
8,Acarau,BR,87.66,overcast clouds,-2.8856,-40.12,castelo pizzaria
15,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
18,Hambantota,LK,77.52,broken clouds,6.1241,81.1185,Bungalow 63
19,Yadgir,IN,75.04,scattered clouds,16.7667,77.1333,Hotel SLV yadgir
23,Carnarvon,AU,75.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
32,Atuona,PF,78.17,clear sky,-9.8,-139.0333,Villa Enata
35,Rio Grande,BR,84.2,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
38,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
56,Sao Filipe,CV,78.01,scattered clouds,14.8961,-24.4956,Tortuga B&B
59,San Andres,CO,84.2,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
63,Le Vauclin,MQ,84.2,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
65,Labuhan,ID,77.05,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
67,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
68,Barranca,PE,76.84,clear sky,-10.75,-77.7667,El Olivar Hospedaje
70,Ugoofaaru,MV,81.07,broken clouds,5.6667,73.0,Ungoofaaru Inn
73,Coahuayana,MX,75.2,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
78,Butaritari,KI,81.09,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
83,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
86,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
91,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
99,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
100,Francistown,BW,78.8,light rain,-21.17,27.5079,Budget House
104,Santa Rosa,PH,78.01,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
106,Chuy,UY,80.92,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
107,Sinnamary,GF,79.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
113,Poum,NC,80.11,broken clouds,-20.2333,164.0167,Gîte kajeon
115,Manaure,CO,85.5,broken clouds,11.7751,-72.4445,Hotel Palaaima
118,Muli,MV,80.94,broken clouds,2.9167,73.5667,Medhufushi Island Resort
121,Tefe,BR,86.0,broken clouds,-3.3542,-64.7114,Aracati Hotel
122,Saint-Philippe,RE,82.4,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Manado,ID,77.0,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
127,Katherine,AU,77.0,light rain,-14.4667,132.2667,Pine Tree Motel
129,Faanui,PF,81.21,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,Kavieng,PG,82.65,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
