City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiznit,MA,29.5833,-9.5,65.46,42,0,1.28,clear sky
1,Hermanus,ZA,-34.4187,19.2345,61.0,84,12,8.21,few clouds
2,New Norfolk,AU,-42.7826,147.0587,55.99,61,99,1.57,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,79.34,75,39,14.18,scattered clouds
4,Krasnorechenskiy,RU,44.6265,135.3532,-9.6,85,11,3.91,few clouds
5,Cabo San Lucas,MX,22.8909,-109.9124,77.0,48,85,4.0,overcast clouds
6,Kahului,US,20.8947,-156.47,78.8,65,40,25.32,scattered clouds
7,Long Xuyen,VN,10.3833,105.4167,73.4,100,40,2.3,scattered clouds
8,Busselton,AU,-33.65,115.3333,48.99,90,0,9.42,clear sky
9,Tuatapere,NZ,-46.1333,167.6833,50.0,90,100,15.01,light rain
10,Ust-Koksa,RU,50.2696,85.6108,8.47,89,81,1.36,broken clouds
11,Vaini,TO,-21.2,-175.2,73.4,100,90,10.36,moderate rain
12,Pombas,CV,17.1503,-25.0201,71.6,78,20,20.71,few clouds
13,Virginia Beach,US,36.8529,-75.978,46.99,74,76,3.0,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,64.99,94,28,19.1,light rain
15,Igarka,RU,67.4667,86.5833,-28.77,76,67,5.79,broken clouds
16,Hithadhoo,MV,-0.6,73.0833,80.92,80,81,16.98,heavy intensity rain
17,Ushuaia,AR,-54.8,-68.3,42.8,81,75,26.46,drizzle
18,Meulaboh,ID,4.1363,96.1285,75.74,86,100,5.5,overcast clouds
19,Upernavik,GL,72.7868,-56.1549,-2.16,91,100,4.03,overcast clouds
20,Lebu,CL,-37.6167,-73.65,61.23,70,100,11.77,overcast clouds
21,Jamestown,US,42.097,-79.2353,24.01,79,90,8.63,overcast clouds
22,Airai,TL,-8.9266,125.4092,62.01,100,100,3.22,overcast clouds
23,Hilo,US,19.7297,-155.09,71.6,88,90,9.22,heavy intensity rain
24,Bahia Blanca,AR,-38.7196,-62.2724,79.09,34,76,12.48,broken clouds
25,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,4.61,clear sky
26,Goundam,ML,16.4145,-3.6708,73.83,15,0,10.49,clear sky
27,Carnarvon,AU,-24.8667,113.6333,71.6,83,0,17.27,clear sky
28,Sao Filipe,CV,14.8961,-24.4956,75.04,69,0,5.35,clear sky
29,Nikolskoye,RU,59.7035,30.7861,33.8,93,90,4.47,light snow
30,Isilkul,RU,54.9109,71.2728,14.74,97,50,9.57,scattered clouds
31,Olafsvik,IS,64.8945,-23.7142,30.58,87,90,17.52,overcast clouds
32,Arys,KZ,42.4252,68.795,26.6,93,0,2.24,fog
