City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sambava,MG,2021-01-26 15:02:23,-14.2667,50.1667,81.28,73,100,3.89
1,Sao Filipe,CV,2021-01-26 15:09:15,14.8961,-24.4956,76.84,59,0,6.33
2,Hilo,US,2021-01-26 14:57:06,19.7297,-155.09,73.4,78,90,8.05
3,Ribeira Grande,PT,2021-01-26 15:01:48,38.5167,-28.7,64.4,88,75,24.16
4,Chokurdakh,RU,2021-01-26 15:01:53,70.6333,147.9167,-34.92,79,71,4.0
5,Albany,US,2021-01-26 15:01:45,42.6001,-73.9662,25.0,54,44,3.71
6,Tasiilaq,GL,2021-01-26 15:02:03,65.6145,-37.6368,6.8,56,40,16.11
7,Atyashevo,RU,2021-01-26 15:09:16,54.5644,46.0691,28.22,98,100,15.1
8,Rikitea,PF,2021-01-26 15:01:40,-23.1203,-134.9692,78.94,73,0,13.6
9,Hermanus,ZA,2021-01-26 15:01:49,-34.4187,19.2345,75.0,65,11,1.99
10,Atuona,PF,2021-01-26 15:01:52,-9.8,-139.0333,78.08,77,29,17.94
11,Kapaa,US,2021-01-26 15:01:39,22.0752,-159.319,71.6,100,75,19.57
12,Kodiak,US,2021-01-26 15:01:46,57.79,-152.4072,35.6,64,1,6.91
13,Maridi,SS,2021-01-26 15:09:16,4.9158,29.4742,94.12,20,3,3.62
14,Ust-Kuyga,RU,2021-01-26 15:09:17,70.0167,135.6,-45.31,75,25,0.98
15,Kaitangata,NZ,2021-01-26 15:02:18,-46.2817,169.8464,66.0,55,100,3.0
16,Hobart,AU,2021-01-26 15:00:03,-42.8794,147.3294,53.6,58,19,11.5
17,Ostrovnoy,RU,2021-01-26 15:01:50,68.0531,39.5131,9.09,94,100,19.42
18,Nova Vicosa,BR,2021-01-26 15:09:17,-17.8919,-39.3719,84.69,55,6,11.86
19,Huarmey,PE,2021-01-26 15:09:17,-10.0681,-78.1522,74.97,67,100,7.81
20,Punta Arenas,CL,2021-01-26 14:57:18,-53.15,-70.9167,44.6,65,40,34.52
21,Georgetown,MY,2021-01-26 14:59:55,5.4112,100.3354,81.0,83,20,3.44
22,Bredasdorp,ZA,2021-01-26 15:02:02,-34.5322,20.0403,75.2,57,29,12.66
23,Charters Towers,AU,2021-01-26 15:02:31,-20.1,146.2667,73.54,85,98,8.99
24,Mataura,NZ,2021-01-26 15:01:41,-46.1927,168.8643,70.0,56,100,5.99
25,Makakilo City,US,2021-01-26 15:02:38,21.3469,-158.0858,73.4,88,20,4.61
26,Bayan,CN,2021-01-26 15:02:00,46.0833,127.4,-0.78,90,0,6.87
27,Quatre Cocos,MU,2021-01-26 15:09:18,-20.2078,57.7625,84.2,61,20,6.91
28,Cape Town,ZA,2021-01-26 15:00:48,-33.9258,18.4232,75.2,53,0,27.63
29,Bundaberg,AU,2021-01-26 15:06:26,-24.85,152.35,73.99,88,2,3.36
30,Sobolevo,RU,2021-01-26 15:09:18,54.4299,31.8996,31.62,98,100,18.61
31,Porto Nacional,BR,2021-01-26 15:09:18,-10.7081,-48.4172,80.6,78,40,9.22
32,Luderitz,NA,2021-01-26 15:09:18,-26.6481,15.1594,73.8,56,89,27.6
33,Tuktoyaktuk,CA,2021-01-26 15:01:46,69.4541,-133.0374,-9.4,84,40,14.97
34,Upernavik,GL,2021-01-26 15:01:46,72.7868,-56.1549,4.84,91,100,13.22
35,Iqaluit,CA,2021-01-26 15:01:14,63.7506,-68.5145,0.0,78,40,18.41
36,Bethel,US,2021-01-26 15:01:38,41.3712,-73.414,30.0,50,90,5.75
37,Aswan,EG,2021-01-26 15:06:38,24.0934,32.907,73.72,18,0,6.67
38,Sorel,CA,2021-01-26 15:09:19,46.0418,-73.1136,15.01,85,19,3.44
39,Ushuaia,AR,2021-01-26 15:01:31,-54.8,-68.3,41.0,87,75,21.85
40,Nikolskoye,RU,2021-01-26 15:01:54,59.7035,30.7861,36.0,93,90,11.18
41,East London,ZA,2021-01-26 15:02:10,-33.0153,27.9116,77.0,78,0,11.5
42,Araouane,ML,2021-01-26 15:09:19,18.9048,-3.5265,87.89,9,0,11.88
43,Bluff,NZ,2021-01-26 15:01:40,-46.6,168.3333,70.0,56,100,5.99
44,Sao Miguel Do Araguaia,BR,2021-01-26 15:02:45,-13.275,-50.1628,86.27,63,34,5.21
45,Pokhara,NP,2021-01-26 15:09:19,28.2333,83.9833,53.02,50,0,3.65
46,Severo-Kurilsk,RU,2021-01-26 15:01:55,50.6789,156.125,22.75,95,80,20.87
47,Talnakh,RU,2021-01-26 15:02:16,69.4865,88.3972,-24.9,82,100,11.48
48,Batouri,CM,2021-01-26 15:09:20,4.4333,14.3667,97.16,18,0,3.87
49,Katsuura,JP,2021-01-26 15:02:32,35.1333,140.3,50.0,71,75,4.61
50,Vanimo,PG,2021-01-26 15:09:20,-2.6741,141.3028,79.45,83,100,4.99
51,Mogzon,RU,2021-01-26 15:09:20,51.7435,111.9606,-11.7,86,100,8.63
52,Hithadhoo,MV,2021-01-26 15:01:56,-0.6,73.0833,78.51,82,100,9.64
53,Moissac,FR,2021-01-26 15:09:20,44.1024,1.0945,43.0,70,0,9.22
54,Butaritari,KI,2021-01-26 15:01:44,3.0707,172.7902,79.21,80,100,7.81
55,Chuy,UY,2021-01-26 15:01:59,-33.6971,-53.4616,90.66,42,0,2.93
56,Port Hedland,AU,2021-01-26 15:02:39,-20.3167,118.5667,86.0,58,97,17.27
57,Grand Gaube,MU,2021-01-26 15:01:43,-20.0064,57.6608,80.01,82,49,1.01
58,Sibenik,HR,2021-01-26 15:09:21,43.7272,15.9058,44.6,33,20,17.27
59,Jamestown,US,2021-01-26 15:01:15,42.097,-79.2353,33.01,93,90,11.05
60,Codrington,AU,2021-01-26 15:01:46,-38.2667,141.9667,52.99,75,48,11.43
61,San Matias,BO,2021-01-26 15:09:21,-16.3667,-58.4,91.56,50,78,7.94
62,Zhangye,CN,2021-01-26 15:09:21,38.9342,100.4517,19.96,81,1,5.32
63,Comodoro Rivadavia,AR,2021-01-26 15:00:01,-45.8667,-67.5,62.6,34,40,20.71
64,Rudbar,AF,2021-01-26 15:09:21,30.15,62.6,51.75,32,0,3.87
